"Date","Price","Open","High","Low","Vol.","Change %"
"14-10-2022","7.2162","7.1760","7.2288","7.1586","","0.58%"
"13-10-2022","7.1747","7.1747","7.2380","7.1632","","0.00%"
"12-10-2022","7.1746","7.1712","7.1930","7.1537","","0.09%"
"11-10-2022","7.1684","7.1526","7.2007","7.1461","","0.22%"
"10-10-2022","7.1524","7.1315","7.1680","7.1136","","0.29%"
"07-10-2022","7.1314","7.0835","7.1390","7.0757","","0.67%"
"06-10-2022","7.0838","7.0683","7.0899","7.0216","","0.24%"
"05-10-2022","7.0671","7.0375","7.0944","7.0121","","0.41%"
"04-10-2022","7.0381","7.1031","7.1172","7.0307","","-0.92%"
"03-10-2022","7.1033","7.1415","7.1566","7.0900","","-0.53%"
"30-09-2022","7.1415","7.0984","7.1423","7.0722","","0.63%"
"29-09-2022","7.0969","7.1624","7.2164","7.0889","","-0.90%"
"28-09-2022","7.1614","7.1796","7.2677","7.1451","","-0.23%"
"27-09-2022","7.1782","7.1740","7.1915","7.1453","","0.08%"
"26-09-2022","7.1726","7.1330","7.1771","7.1297","","0.56%"
"23-09-2022","7.1330","7.0796","7.1466","7.0769","","0.75%"
"22-09-2022","7.0796","7.0754","7.1064","7.0607","","0.07%"
"21-09-2022","7.0744","7.0308","7.0802","7.0269","","0.64%"
"20-09-2022","7.0297","7.0050","7.0332","6.9991","","0.37%"
"19-09-2022","7.0038","7.0020","7.0260","6.9911","","0.07%"
"16-09-2022","6.9989","7.0129","7.0429","6.9970","","-0.20%"
"15-09-2022","7.0129","6.9741","7.0188","6.9675","","0.57%"
"14-09-2022","6.9733","6.9823","6.9852","6.9615","","-0.12%"
"13-09-2022","6.9816","6.9180","6.9850","6.9110","","0.94%"
"12-09-2022","6.9169","6.9366","6.9486","6.9104","","-0.28%"
"09-09-2022","6.9362","6.9609","6.9639","6.9174","","-0.35%"
"08-09-2022","6.9609","6.9566","6.9780","6.9507","","0.07%"
"07-09-2022","6.9558","6.9705","6.9975","6.9556","","-0.20%"
"06-09-2022","6.9696","6.9425","6.9826","6.9328","","0.41%"
"05-09-2022","6.9414","6.9185","6.9554","6.9163","","0.33%"
"02-09-2022","6.9183","6.9158","6.9214","6.9002","","0.05%"
"01-09-2022","6.9150","6.9054","6.9208","6.8882","","0.14%"
"31-08-2022","6.9053","6.9236","6.9256","6.8907","","-0.25%"
"30-08-2022","6.9225","6.9156","6.9293","6.9038","","0.11%"
"29-08-2022","6.9147","6.8942","6.9331","6.8920","","0.30%"
"26-08-2022","6.8943","6.8505","6.8982","6.8491","","0.65%"
"25-08-2022","6.8498","6.8761","6.8780","6.8461","","-0.37%"
"24-08-2022","6.8751","6.8530","6.8879","6.8517","","0.32%"
"23-08-2022","6.8532","6.8684","6.8853","6.8366","","-0.20%"
